news_report_URL,news_report_platform,date_of_publication,author,news_report_headline,wire_service,no_of_subscribers,victim_name,date_of_death,age_of_death,race_of_victim,type_of_location,place_of_death_town,place_of_death_province,sexual_assault,mode_of_death_specific,mode_of_death_general,robbery,suspect_arrested,suspect_convicted,perpetrator_name,perpetrator_relationship_to_victim,multiple_murder,extreme_violence,intimate_femicide,notes
http://www.hill.net/,Garza Inc,2017-02-19,Daniel Wagner,Night respond red.,Group,33722,Kevin Pacheco,2000-04-07,89,White,Urban,Port Lindachester,Northern Cape,Yes,Blunt force trauma,Beating,Yes,Yes,No,Christopher Bernard,Stranger,No,No,No,Bill here grow gas enough analysis.
http://www.stanley.com/,Delacruz Group,2012-09-13,Mark Diaz,Great prove reduce raise author play.,PLC,12705,Carla Gray,2010-10-14,52,Black,Urban,Lake Mark,Western Cape,No,Strangulation,Shooting,No,Yes,No,Amy Underwood,Acquaintance,No,No,No,Husband at tree note responsibility defense.
https://robinson-bright.net/,Davis-Williams,2018-05-31,Mark Conner,Others his other life edge network.,Inc,48632,Ashley Dyer,2008-06-04,50,Black,Urban,Kaylamouth,Limpopo,Yes,Blunt force trauma,Stabbing,Yes,Yes,No,Jeffrey Chavez,Family,No,Yes,Yes,Will seven medical blood personal.
https://rodriguez.com/,Brown PLC,2015-02-26,Angelica Tucker,Within mouth call process.,PLC,33708,Joseph Obrien,2004-07-11,8,Black,Urban,New Karina,Limpopo,No,Stabbing,Stabbing,No,No,No,Michelle Ross,Acquaintance,Yes,Yes,Yes,Just military building different full open.
http://palmer.info/,Ryan Ltd,2013-06-02,Laura Kennedy,Space couple best issue interest level rock.,Ltd,26626,Maria Brown,2012-05-27,62,Asian,Rural,Laurenville,Eastern Cape,Yes,Gunshot,Other,No,No,No,Connor West,Unknown,Yes,No,Yes,Contain leg themselves away space task.
http://www.tucker-lewis.biz/,Martin Inc,2019-09-21,Mrs. Rachel Gibson,Recent room situation product main couple.,and Sons,39985,Lauren Daniels,2019-09-10,70,Coloured,Urban,Brianshire,Northern Cape,Yes,Poisoning,Shooting,No,Yes,No,Thomas Schmidt,Family,No,No,No,Whether bag control organization.
http://silva.com/,"Moran, Allen and Foster",2020-07-01,Elizabeth Stewart,Act perform none beyond.,PLC,44021,Derek Mahoney,2018-10-09,77,Asian,Rural,East Mikeburgh,Free State,Yes,Strangulation,Other,No,Yes,No,Joshua Turner,Unknown,No,Yes,Yes,Score choice example decision.
http://williams-cook.com/,"Whitney, Martin and Ramos",2011-10-09,Kristina Rodriguez,Nation strong old challenge.,and Sons,34840,Jacob Fitzpatrick,2013-01-23,25,Indian,Suburban,West Jasonbury,Eastern Cape,Yes,Strangulation,Stabbing,Yes,No,No,Heather Castro,Stranger,Yes,Yes,No,Wind see understand door class son.
https://www.moore-haynes.biz/,Garrison and Sons,2023-10-15,Thomas Bailey,Development process huge everything attorney.,LLC,10760,Jordan Frazier,2016-07-22,12,Black,Rural,Sheilaville,Northern Cape,No,Gunshot,Shooting,Yes,No,Yes,Debbie Carpenter,Acquaintance,Yes,Yes,Yes,Although others generation skill job.
http://jones-beck.com/,"Edwards, Charles and Cortez",2014-09-08,Eric Ortiz,Recent never court professor here security.,and Sons,30210,Elizabeth Kelley,2005-05-22,66,Coloured,Rural,West Justinchester,KwaZulu-Natal,No,Stabbing,Beating,Yes,Yes,Yes,Lisa Morris,Stranger,Yes,No,Yes,Kind degree list top somebody college.
